IDHASH,MIN_CALIF_ADMIS,MAX_CALIF_ADMIS,PROM_CALIF_ADMIS,CANT_ADMIS
00B0D648D77C37EBBC17F94A16BDE837F73AFAEB73FF384BD854EA22BA5AB6A247CBB87D221D3FFF4F1BF89B2260C685E11CAD27D7EA7AD4DAC1225A4307208D,12.08,12.08,12.08,1
00B464E2BC5F1570295C8C57E04FE6165F233749E8A0B3159D4C0A44895558F551363C5D7E03DFF3BEB9BB6E766BC1FD764BBABA4B464E00DC450024D93699AA,9.633,9.633,9.633,1
00B5CA18632823707F14EED0F5AF440A678E0B04137B370B6D2259DEBE043B4A3BA61648E12B1B52173F8830F683B1D19D3333A35FC3E8CD91A1EE7000ED463C,13.751,13.751,13.751,1
00B5EBE42CDDE3CB6BB51C90998A2884E562242BE7ACBD3F9A096A186E5FE27F8853E241803ED0828CB0C5F51CFD4B7F372680AFDA37C64E4FD71B96CB5DB198,7.34,7.34,7.34,1
00B5EEDC332CE352949AF0D30332206231EC21DB5C6813CB125A8FD15E99E01BCF8812D0D1C233EE1381E6D51D5A34ABFD164F8D966033B0FADDB59F523BDE02,7.408,7.408,7.408,1
00B6BD4E9DA7D970C2E04D54ADF0918CD397CBBCE3B7CBB2644269F51E1BD688DD4734568552F99EC9344505E181F5E7244E03A6CCE44DEC9019C567A79851F3,4.505,8.696,6.6005,2
00B7352C218B319E9001EA5D9B3A2956B91362BA50667E68B63EC178C1B38ADDB7B38BCE3A9330AF60EAA8C4DAE6F81455E9D19B6935BC55C538C350D446B908,14.77,14.77,14.77,1
00B7394DC2ECCA371C4AB8278082CDB8A6EA55193137FD9043B5AF6627EEA6F2FB40A19AFAA450BC5690F434FB3A0837FE0FD4F38EC045D7120397AEB7BC1855,5.876,5.876,5.876,1
00B78CD855688F56A78FEA55AE5C1B62FEADCB0BFB671243D1C9ABED3EFE580EE668158D703AC81310ADBFFBEF16CDF59F73D5285D136027684B2D63064BF6F5,4.827,4.827,4.827,1
00B8DA710F862DFEABA2C72A330914BECD7ECABBC0FE6D77001E11FE22B1EABCC62519F496CA4B2BB4051BF7F2054037A832EE1FC30B45AE21D3D5CA3A478994,2.343,2.343,2.343,1
00BB9B5AEB7B0937AE9396C75E678845007431AFB5AE9BBA15A1E0695464851699F036562B48C9D791DF746A493AA5DEAC81C3A78B8186948397C2DED068ADD7,4.726,4.726,4.726,1
00BE19DCCB0487E888A27738277CC99AE03F36590964E40E960B64CB36A24DF50C6B744E76EF5667AAA609AD22B1E59F81892484A07E11970912085B1E97CF46,9.37,11.852,10.611,2
00BF77440AD3C745442DD42D2280419E2EB4A0B698D0C2D2B3327A3EC514F952C71B96613C02FF05A295C984721C0A5ADFF1C352EDCC117CC7D61396D13FB796,8.09,10.591,9.340499999999999,2
00C05E83C172F62AD3BC18EB67299FD77987E1CC4539CF1CDACFC2D318A2CDB9AF04678E7C2BB96ED08D7B94C920F6140452FC4650E182DFE737442378E141BD,5.79,5.79,5.79,1
00C7EFDB8BB33C66953D78EB59892EA8E662574683D8DDAA72BD5D7CBCB3DDE5C85A7CDC9D760FB7388A2A6C7A0A43ACF76F2C3AAB5F1E28B64565364AB61093,4.48,4.48,4.48,1
00C9BCC6F6599547ED9187A78205DB1779BE4A3D8F5391667DA9DD6918E674B50E210FDE6830DCAAB2BE485E80ADF4AEACAC1F206B037F9303816ACE43A81F3E,9.486,9.486,9.486,1
00CF7CC03897C3AC4CC21CC422E8FBB4F39A8314379AE432C47C0B852CEDE158FEB7D5DC428D42B640A4D8E4CC118C5B0FB4E13085C19B0664392DF8E7C4F0B6,4.65,4.65,4.65,1
00D43A1452A1F9C4124C72362385DC3FFABD91EC35EB58E06D882E2793AD769630AA7F8C10C1455D3837267308A2C22E5AEFB44400A585C0BFFC766B6C54CF94,1.5,1.5,1.5,1
00D8CF539B0D79AF4D05137E8FDE42B8053A196EBC8ACC50D69C164793498AF67065E5123C5E5FE320A01C144149E57948C0032F0C16634A6659C012D7D8103E,6.52,6.52,6.52,1
00D916CBDE93F9D8B5D20204057974D89279B2627FFD0E4DB83C999B3BFDC42DB303A8AD377DCC6F7BD998E02B2E13CE0609C0F466B7EDB2DFD5E544881E6CCE,4.631,4.631,4.631,1
00D9B165AB36876CA7EE8BCC5C12972DECB3C324C9F47F71852C0ACA5D7EE8C1356587A5C609B8E9E47B7522E778D087DAAAC2EB374F0269BFC0211D1389D655,7.263,7.263,7.263,1
00DC2BC7E5AC9198BE79BD94DC0C64681E018EC62477D0768DD5AFC814C8CD923CDE378BD2A89CC08FB8A1DC0F4D31436A3810470D3D43483A1E4EF1C1A210AF,4.77,4.77,4.77,1
00DD7E87D8C383FF0A2D89736C467943E76EF07A79F7EA13DE2CFFD46472A5C291E50E23FDFFAE4B1D61E70BCD8051A40D278583BE52BC2B621B42B0420F22E7,6.279,6.279,6.279,1
00E61C40D092B436F07480228051693BCFAF5FE858740358E5D36814DFCB0975824DF2D45A800D6B7DF7E5ABC7C5B26377BDF22AFF66133656FC1B036FEE7661,2.586,3.448,3.017,2
