COLEGIO,COLEGIO_PAIS,COLEGIO_DEPA,COLEGIO_PROV,COLEGIO_DIST
4010 HERMANOS RAFAEL SAMUEL Y EMILIO MOISES GOMEZ PAQUIYAURI,PERÚ,CALLAO,CALLAO,CALLAO
4015 AUGUSTO SALAZAR BONDY,PERÚ,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO
40165 SAN JUAN BAUTISTA DE LA SALLE,PERÚ,AREQUIPA,AREQUIPA,AREQUIPA
4018 ABRAHAM VALDELOMAR,PERÚ,CALLAO,CALLAO,CALLAO
42019 LASTENIA REJAS DE CASTAÑON,PERÚ,TACNA,TACNA,TACNA
42237 JORGE CHAVEZ,PERÚ,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIP
5019 - AUGUSTO CAZORLA,PERÚ,CALLAO,CALLAO,CALLAO
5033 - LAS 200 MILLAS,PERÚ,CALLAO,CALLAO,CALLAO
5049 EMMA DETTMANN DE GUTIERREZ,0,0,0,0
5051 VIRGEN DE FATIMA,PERÚ,CALLAO,CALLAO,VENTANILLA
5074 ALCIDES SPELUCIN VEGA,PERÚ,CALLAO,CALLAO,CALLAO
5076 NSTRA. SRA.DE LAS MERCEDES,PERÚ,CALLAO,CALLAO,CALLAO
5077 JOSE FAUSTINO SANCHEZ CARRION,PERÚ,CALLAO,CALLAO,VENTANILLA
5080 SOR ANA DE LOS ANGELES,PERÚ,CALLAO,CALLAO,CALLAO
5085 RAMIRO PRIALE PRIALE,PERÚ,CALLAO,CALLAO,CALLAO
5086 POLITECNICO DE VENTANILLA,PERÚ,CALLAO,CALLAO,VENTANILLA
5088 HEROES DEL PACIFICO,PERÚ,CALLAO,CALLAO,VENTANILLA
5093 Antonio Raymondi,PERÚ,CALLAO,CALLAO,VENTANILLA
5094 NACIONES UNIDAS,PERÚ,CALLAO,CALLAO,VENTANILLA
5095 JULIO RAMON RIBEYRO,PERÚ,CALLAO,CALLAO,CALLAO
5099 RICARDO PALMA,PERÚ,CALLAO,CALLAO,CALLAO
5099 RICARDO PALMA,PERÚ,CALLAO,CALLAO,CALLAO
5121 PEDRO PLANAS SILVA,PERÚ,CALLAO,CALLAO,VENTANILLA
5122 JOSE ANDRES RAZURI ESTEVEZ,PERÚ,CALLAO,CALLAO,VENTANILLA
5123 FRANCISCO BOLOGNESI CERVANTES,PERÚ,CALLAO,CALLAO,VENTANILLA
5124 LIBERTADOR SIMON BOLIVAR,PERÚ,CUSCO,CUSCO,SANTIAGO
5125 CASUARINAS,PERÚ,CALLAO,CALLAO,VENTANILLA
5125 CASUARINAS,PERÚ,CALLAO,CALLAO,VENTANILLA
5126 LOS JAZMINES,PERÚ,CALLAO,CALLAO,CALLAO
5126 LOS JAZMINES,PERÚ,CALLAO,CALLAO,CALLAO
5127 MARTIR JOSE OLAYA,PERÚ,CALLAO,CALLAO,VENTANILLA
5128 SAGRADO CORAZON DE MARIA,0,0,0,0
5130 PACHACUTEC,PERÚ,CALLAO,CALLAO,VENTANILLA
5139 LAS COLINAS,PERÚ,CALLAO,CALLAO,CALLAO
5141 DIVINO MAESTRO,PERÚ,CALLAO,CALLAO,VENTANILLA
5142 VIRGEN DE GUADALUPE,PERÚ,CALLAO,CALLAO,VENTANILLA
5143 ESCUELA DE TALENTOS,PERÚ,0,0,0
5143 ESCUELA DE TALENTOS,PERÚ,CALLAO,CALLAO,LA PERLA
5143 ESCUELA DE TALENTOS,PERÚ,CALLAO,CALLAO,CALLAO
5143 ESCUELA DE TALENTOS,PERÚ,CALLAO,CALLAO,VENTANILLA
5143 ESCUELA DE TALENTOS,PERÚ,0,0,0
5143 ESCUELA DE TALENTOS,PERÚ,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO
5166 BELLA AURORA,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5166 BELLA AURORA,PERÚ,0,0,0
5167 VICTOR RAUL HAYA DE LA TORRE,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5171 TUPAC AMARU II,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5172 HIJOS DE LUYA,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5173 GUSTAVO MOHME LLONA,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5174 JUAN PABLO II,PERÚ,LIMA,LIMA METROPOLITANA,CARABAYLLO
5177 ALAMEDA DEL NORTE,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5179 LOS PINOS,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5179 LOS PINOS,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5182 SEÑOR DE LOS MILAGROS,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5182 señor de los milagros,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
5186 REPUBLICA DE JAPON,PERÚ,LIMA,HUAURA,HUACHO
56175 SAGRADO CORAZON DE JESUS,PERÚ,CUSCO,ESPINAR,ESPINAR
57003 ALMIRANTE MIGUEL GRAU,PERÚ,CUSCO,ESPINAR,ESPINAR
6 DE AGOSTO,PERÚ,JUNÍN,JUNÍN,JUNIN
60019 SAN MARTIN DE PORRES,PERÚ,LORETO,MAYNAS,IQUITOS
6005 GENERAL EMILIO SOYER CABERO,PERÚ,LIMA,LIMA METROPOLITANA,CHORRILLOS
6005 GENERAL EMILIO SOYER CABERO,PERÚ,LORETO,MAYNAS,TORRES CAUSANA
6005 GENERAL EMILIO SOYER CABERO,PERÚ,LIMA,LIMA METROPOLITANA,CHORRILLOS
6018 INMACULADA CONCEPCION - HUARANGAL,PERÚ,LIMA,LIMA METROPOLITANA,CIENEGUILLA
6019 MARIANO MELGAR,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
6019 MARIANO MELGAR,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
6024 JOSE MARIA ARGUEDAS,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
6030 VICTOR A BELAUNDE DIEZ CANSECO,PERÚ,LIMA,LIMA METROPOLITANA,PUNTA HERMOSA
6037 INCA PACHACUTEC,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
6039 FERNANDO CARBAJAL SEGURA,PERÚ,LIMA,LIMA METROPOLITANA,ATE
6039 FERNANDO CARBAJAL SEGURA,PERÚ,LIMA,LIMA METROPOLITANA,LA VICTORIA
6044 JORGE CHAVEZ,PERÚ,LIMA,LIMA METROPOLITANA,SANTIAGO DE SURCO
6047 JOSE MARIA ARGUEDAS,PERÚ,LIMA,LIMA METROPOLITANA,SANTIAGO DE SURCO
6047 JOSE MARIA ARGUEDAS,PERÚ,LIMA,LIMA METROPOLITANA,SANTIAGO DE SURCO
6048 I. E. Jorge Basadre,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6048 JORGE BASADRE,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6049 RICARDO PALMA,PERÚ,LIMA,LIMA METROPOLITANA,SURQUILLO
6050 JUANA ALARCO DE DAMMERT,PERÚ,LIMA,LIMA METROPOLITANA,MIRAFLORES
6050 JUANA ALARCO DE DAMMERT,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
6051 MERCEDES INDACOCHEA,PERÚ,LIMA,LIMA METROPOLITANA,BARRANCO
6052 JOSE MARIA EGUREN,PERÚ,LIMA,LIMA METROPOLITANA,BARRANCO
6059 SAGRADO CORAZON DE JESUS,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
6060 JULIO CESAR TELLO,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
6062 PERU EEUU,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6065 PERU INGLATERRA,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
6066 villa el salvador,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
